 Fantasy,"('AVENIDA CORONEL JOSE DIAS BICALHO', '4781400', '')"
 Salão da Lora,"('RUA WILSON SOARES FERNANDES', '9602501', '')"
 Reinaldo Auto Peças,"('RUA FORMIGA', '4520001', '4520004')"
 You,"('AVENIDA CRISTIANO MACHADO', '4782201', '4781400')"
 Posto Floramar,"('AVENIDA CRISTIANO MACHADO', '4731800', '4520005')"
 Centro Empresarial e Comercial Pampulha,"('AVENIDA PORTUGAL', '6810201', '6822600')"
 Geléia Auto Peças,"('AVENIDA VILARINHO', '4520001', '')"
 Eduardo Aurélio Gomes Domingos,"('AVENIDA VISCONDE DE IBITURUNA', '4753900', '4713001')"
 Comunidade Batista Semeando,"('RUA NOSSA SENHORA DE LOURDES', '9491000', '')"
 Sorveteria Doce Sabor,"('RUA MARIA AMELIA MAIA', '5611203', '4712100')"
 Felipe lavanderia,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Som & Caixa,"('RUA PADRE PEDRO PINTO', '4530703', '4520001')"
 Rede Invista,"('AVENIDA PORTUGAL', '6821801', '6821802')"
 Poupe Sempre,"('RUA SERRA NEGRA', '4712100', '5611202')"
 C Cultural Monte Castelo,"('RUA DOUTOR SYLVIO MENICUCCI', '8520100', '8512100')"
 Academia Movimento do Corpo,"('RUA ITAGUARA', '9313100', '')"
 Posto Javari,"('RUA DESCALVADO', '4731800', '4732600')"
 Direito,"('AVENIDA PRESIDENTE CARLOS LUZ', '4713001', '4649499')"
 Feira Shop,"('AVENIDA DO CANAL', '4781400', '')"
 Brugnara e Associados Consultores S/C Ltda,"('RUA IZABEL BUENO', '4713001', '')"
 Sandra N Santos,"('RUA EDSON TOMAS SANTOS', '4721102', '4712100')"
 Doce Cobertura Confeitaria,"('RUA IPE', '5611203', '4712100')"
 Salão Super Star,"('RUA CARLOS GARDEL', '9511800', '9602501')"
 Previsa Assessoria Contábil,"('RUA CONSELHEIRO LAFAIETE', '7319003', '6920601')"
 Loja Valéria Santos,"('RUA BURITIS', '4781400', '4751201')"
 Millena Criações,"('RUA ARISTIDES FERREIRA', '4781400', '4782201')"
 Antenas Instala Sete,"('AVENIDA PRESIDENTE ANTONIO CARLOS', '7722500', '4713001')"
 Igreja do Evangélho Quadrangular,"('RUA MARIA AMELIA MAIA', '9491000', '')"
 Panificadora Mol e Ottoni,"('AVENIDA DOS ENGENHEIROS', '5611203', '1091102')"
 Hidro Partes,"('AVENIDA VISCONDE DE IBITURUNA', '4753900', '4713001')"
 BB Colorido,"('RUA CAMILO PRATES', '4781400', '4762800')"
 Afta Modas,"('AVENIDA SARAMENHA', '4520001', '4781400')"
 A HABITAR IMÓVEIS,"('AVENIDA DEPUTADO ANUAR MENHEN', '6821801', '')"
 Salão Tabajara,"('RUA JARDIM DE ALA', '9602501', '')"
 A Melhor Pizza Pizzaiolo Barreiro,"('AVENIDA SINFRONIO BROCHADO', '5611201', '5611203')"
 Grupo Brasil Online,"('RUA IZABEL BUENO', '4713001', '')"
 Tri Calçados Ltda,"('RUA MANOEL GUEDES SANTOS', '4782201', '4781400')"
 PC & COMPANHIA,"('RUA JACUI', '4754701', '4753900')"
 Banco Bradesco,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Albacort Uniformes Profissionais,"('RUA AMERICO MARTINS DA COSTA', '4781400', '4789001')"
 Invictas Distribuidora de Tabaco e Bombonière Ltda,"('RUA BOAVENTURA', '0782', '4713001')"
 Casa Lotérica Geraldo Jener Ltda,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 Academia Galpão 512,"('RUA JOSE CLETO', '9313100', '')"
 Pedacinhos do Céu,"('RUA BELMIRO BRAGA', '5611202', '')"
 Quatro Rodas Centro Automotivo,"('RUA CUBATAO', '4520003', '4520001')"
 Nova Ordem,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Igreja Deus é Amor,"('RUA UM', '9491000', '')"
 Clã Trend Store,"('RUA FUNCHAL', '4781400', '4789099')"
 Alana Imóveis,"('RUA ILACIR PEREIRA LIMA', '6821801', '6821802')"
 Padaria e Confeitaria Flor de Maio Ltda,"('RUA LADAINHA', '1091102', '4712100')"
 Paróquia Nossa Senhora do Belo Ramo,"('RUA SENHORA DO BELO RAMO', '9491000', '')"
 CONTTATOMIX INFORMÁTICA -ASSISTENCIA TECNICA-VENDAS E TREINAMENTO,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Geralda M P Souza,"('AVENIDA DOUTOR CRISTIANO GUIMARAES', '9602502', '9602501')"
 D'CASTRO INFORMÁTICA,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Ipiranga Auto Peças,"('RUA HESPERIA', '4520001', '')"
 Fast Burguer,"('RUA JUATUBA', '5611203', '5611201')"
 Inst Educ Miranda Ottoni,"('RUA JOVIANO NAVES', '8512100', '8511200')"
 Balaústre Varanda's,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 pizza facil bh,"('RUA JACUI', '5611201', '5611203')"
 Recanto do Sabor,"('AVENIDA SEBASTIAO DE BRITO', '5611201', '')"
 Gmv Sete Belo Ltda,"('AVENIDA CRISTIANO MACHADO', '4731800', '4520005')"
 Banco Bradesco S/A,"('AVENIDA ABILIO MACHADO', '4711302', '4713001')"
 frango americano,"('RUA PADRE PEDRO PINTO', '5611201', '5611202')"
 Estação Brasil,"('AVENIDA CORONEL JOSE DIAS BICALHO', '4781400', '')"
 Circuito Informática Ltda,"('AVENIDA VISCONDE DE IBITURUNA', '4753900', '4713001')"
 Prosecco Express,"('AVENIDA CRISTIANO MACHADO', '4723700', '4729699')"
 Consultório Odontológico Tupi,"('RUA FURQUIM WERNECK', '8630504', '')"
 Super Nosso,"('AVENIDA PORTUGAL', '4711302', '4639701')"
 Criações Zepelin,"('RUA SAO LEOPOLDO', '4781400', '')"
 Pet Shop Casa de Campo,"('RUA NELSON HUNGRIA', '9609208', '')"
 Escola Estadual Professor Hílton Rocha,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Madeireira Suprema,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
